"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202237,2022-09-18,1031,410.184,0.397850630455868,114,0.110572259941804,21.184,0.0205470417070805,25,0.0242483026188167,141,0.136760426770126,0,0,0,0,3,0.002909796314258,86,0.0834141610087294,0,0,4,0.00387972841901067,16,0.0155189136760427,399.184,0.387181377303589,60.184,0.0583743937924345,11,0.0106692531522793,0,0,103,0.0999030067895247,10.184,0.00987778855480117,21,0.020368574199806,4,0.00387972841901067,131,0.127061105722599,10,0.00969932104752667,0,0,0,0,0,0,0,0,3,0.002909796314258,64,0.0620756547041707,22,0.0213385063045587,0,0,4,0.00387972841901067,16,0.0155189136760427,399.184,0.387181377303589,222,0.215324927255092,103,0.0999030067895247,14,0.0135790494665373
"VENDELSÖ SÅGEN",202237,2022-09-17,1093,383.728,0.351077767612077,114,0.104300091491308,17.728,0.0162195791399817,13,0.0118938700823422,168,0.153705397987191,4,0.00365965233302836,0,0,1,0.000914913083257091,58,0.0530649588289113,0,0,2,0.00182982616651418,6,0.00548947849954254,373.728,0.341928636779506,43.728,0.0400073193046661,10,0.00914913083257091,0,0,104,0.0951509606587374,7.728,0.0070704483074108,11,0.010064043915828,2,0.00182982616651418,159,0.145471180237877,9,0.00823421774931381,4,0.00365965233302836,0,0,0,0,0,0,1,0.000914913083257091,40,0.0365965233302836,18,0.0164684354986276,0,0,2,0.00182982616651418,6,0.00548947849954254,373.728,0.341928636779506,215,0.196706312900274,104,0.0951509606587374,11,0.010064043915828
"VENDELSÖ SÅGEN",202237,2022-09-16,1180,333.902,0.282967796610169,181,0.153389830508475,25.902,0.0219508474576271,14,0.011864406779661,53,0.0449152542372881,0,0,0,0,1,0.000847457627118644,44,0.0372881355932203,0,0,0,0,15,0.0127118644067797,315.902,0.267713559322034,37.902,0.0321203389830508,18,0.0152542372881356,0,0,163,0.138135593220339,7.902,0.00669661016949153,13,0.0110169491525424,1,0.000847457627118644,48,0.0406779661016949,5,0.00423728813559322,0,0,0,0,0,0,0,0,1,0.000847457627118644,29,0.0245762711864407,15,0.0127118644067797,0,0,0,0,15,0.0127118644067797,315.902,0.267713559322034,110,0.0932203389830508,163,0.138135593220339,5,0.00423728813559322
"VENDELSÖ SÅGEN",202237,2022-09-15,1013,270.232,0.266764067127345,98,0.0967423494570582,22.232,0.0219466929911155,17,0.016781836130306,58,0.0572556762092794,0,0,0,0,0,0,61,0.0602171767028628,0,0,2,0.00197433366238894,12,0.0118460019743337,252.232,0.248995064165844,40.232,0.039715695952616,18,0.0177690029615005,0,0,80,0.0789733464955577,4.232,0.00417769002961501,15,0.0148075024679171,2,0.00197433366238894,48,0.0473840078973346,10,0.00987166831194472,0,0,0,0,0,0,0,0,0,0,42,0.0414610069101678,19,0.018756169792695,0,0,2,0.00197433366238894,12,0.0118460019743337,252.232,0.248995064165844,120,0.118460019743337,80,0.0789733464955577,12,0.0118460019743337
"VENDELSÖ SÅGEN",202237,2022-09-14,1030,273.91,0.265932038834951,77,0.0747572815533981,19.91,0.0193300970873786,29,0.0281553398058252,76,0.0737864077669903,0,0,0,0,2,0.00194174757281553,69,0.0669902912621359,0,0,0,0,1,0.000970873786407767,254.91,0.247485436893204,63.91,0.0620485436893204,19,0.0184466019417476,2,0.00194174757281553,56,0.054368932038835,0.91,0.000883495145631068,26,0.0252427184466019,3,0.0029126213592233,60,0.058252427184466,16,0.0155339805825243,0,0,0,0,0,0,0,0,2,0.00194174757281553,39,0.0378640776699029,30,0.029126213592233,0,0,0,0,1,0.000970873786407767,254.91,0.247485436893204,119,0.115533980582524,56,0.054368932038835,16,0.0155339805825243
"VENDELSÖ SÅGEN",202237,2022-09-13,999,287.268,0.287555555555556,107,0.107107107107107,18.268,0.0182862862862863,17,0.017017017017017,67,0.0670670670670671,0,0,0,0,5,0.005005005005005,71,0.0710710710710711,0,0,2,0.002002002002002,0,0,269.268,0.269537537537538,51.268,0.0513193193193193,18,0.018018018018018,0,0,89,0.0890890890890891,0.268,0.000268268268268268,17,0.017017017017017,0,0,67,0.0670670670670671,0,0,0,0,0,0,0,0,0,0,5,0.005005005005005,42,0.042042042042042,29,0.029029029029029,0,0,2,0.002002002002002,0,0,269.268,0.269537537537538,127,0.127127127127127,89,0.0890890890890891,2,0.002002002002002
"VENDELSÖ SÅGEN",202237,2022-09-12,1055,335.158,0.317685308056872,171,0.162085308056872,16.158,0.0153156398104265,28,0.0265402843601896,39,0.0369668246445498,0,0,0,0,2,0.0018957345971564,73,0.0691943127962085,0,0,2,0.0018957345971564,4,0.0037914691943128,323.158,0.306310900473934,63.158,0.0598654028436019,12,0.0113744075829384,4,0.0037914691943128,155,0.146919431279621,4.158,0.00394123222748815,22,0.0208530805687204,6,0.00568720379146919,39,0.0369668246445498,0,0,0,0,0,0,0,0,0,0,2,0.0018957345971564,48,0.0454976303317536,25,0.023696682464455,0,0,2,0.0018957345971564,4,0.0037914691943128,323.158,0.306310900473934,103,0.0976303317535545,155,0.146919431279621,2,0.0018957345971564
"VENDELSÖ SÅGEN",202233,2022-08-21,1077,43.644,0.0405236768802228,0,0,8.644,0.00802599814298979,13,0.0120705663881151,12,0.011142061281337,0,0,0,0,0,0,8,0.0074280408542247,0,0,2,0.00185701021355617,0,0,43.644,0.0405236768802228,27.644,0.0256675951717734,0,0,0,0,0,0,8.644,0.00802599814298979,12,0.011142061281337,1,0.000928505106778087,4,0.00371402042711235,8,0.0074280408542247,0,0,0,0,0,0,0,0,0,0,2,0.00185701021355617,6,0.00557103064066852,0,0,2,0.00185701021355617,0,0,43.644,0.0405236768802228,6,0.00557103064066852,0,0,10,0.00928505106778087
"VENDELSÖ SÅGEN",202233,2022-08-20,1203,65.298,0.0542793017456359,0,0,9.298,0.00772901080631754,11,0.00914380714879468,26,0.0216126350789692,0,0,0,0,1,0.000831255195344971,11,0.00914380714879468,0,0,2,0.00166251039068994,5,0.00415627597672485,65.298,0.0542793017456359,25.298,0.0210290939318371,0,0,0,0,0,0,9.298,0.00772901080631754,11,0.00914380714879468,0,0,13,0.0108063175394846,13,0.0108063175394846,0,0,0,0,0,0,0,0,1,0.000831255195344971,7,0.0058187863674148,4,0.00332502078137988,0,0,2,0.00166251039068994,5,0.00415627597672485,65.298,0.0542793017456359,25,0.0207813798836243,0,0,15,0.0124688279301746
"VENDELSÖ SÅGEN",202233,2022-08-19,1345,46.29,0.0344163568773234,0,0,9.29,0.00690706319702602,7,0.00520446096654275,18,0.0133828996282528,0,0,0,0,2,0.00148698884758364,5,0.00371747211895911,0,0,0,0,5,0.00371747211895911,46.29,0.0344163568773234,21.29,0.0158289962825279,0,0,0,0,0,0,9.29,0.00690706319702602,7,0.00520446096654275,0,0,12,0.00892193308550186,6,0.00446096654275093,0,0,0,0,0,0,0,0,2,0.00148698884758364,2,0.00148698884758364,3,0.00223048327137546,0,0,0,0,5,0.00371747211895911,46.29,0.0344163568773234,19,0.0141263940520446,0,0,6,0.00446096654275093
"VENDELSÖ SÅGEN",202233,2022-08-18,1204,44.61,0.0370514950166113,0,0,5.61,0.00465946843853821,13,0.010797342192691,12,0.00996677740863787,0,0,0,0,0,0,13,0.010797342192691,0,0,0,0,1,0.000830564784053156,44.61,0.0370514950166113,22.61,0.0187790697674419,0,0,0,0,0,0,5.61,0.00465946843853821,12,0.00996677740863787,1,0.000830564784053156,2,0.00166112956810631,10,0.00830564784053156,0,0,0,0,0,0,0,0,0,0,9,0.00747508305647841,4,0.00332225913621262,0,0,0,0,1,0.000830564784053156,44.61,0.0370514950166113,12,0.00996677740863787,0,0,10,0.00830564784053156
"VENDELSÖ SÅGEN",202233,2022-08-17,1114,29.764,0.0267181328545781,0,0,5.764,0.00517414721723519,13,0.0116696588868941,5,0.00448833034111311,0,0,0,0,0,0,5,0.00448833034111311,0,0,0,0,1,0.000897666068222621,29.764,0.0267181328545781,21.764,0.0195368043087971,0,0,0,0,0,0,5.764,0.00517414721723519,13,0.0116696588868941,0,0,1,0.000897666068222621,4,0.00359066427289048,0,0,0,0,0,0,0,0,0,0,2,0.00179533213644524,3,0.00269299820466786,0,0,0,0,1,0.000897666068222621,29.764,0.0267181328545781,4,0.00359066427289048,0,0,4,0.00359066427289048
"VENDELSÖ SÅGEN",202233,2022-08-16,1174,48.908,0.0416592844974446,0,0,6.908,0.00588415672913118,9,0.00766609880749574,23,0.0195911413969336,0,0,0,0,0,0,10,0.00851788756388416,0,0,0,0,0,0,48.908,0.0416592844974446,19.908,0.0169574105621806,0,0,0,0,0,0,6.908,0.00588415672913118,9,0.00766609880749574,0,0,7,0.00596252129471891,16,0.0136286201022147,0,0,0,0,0,0,0,0,0,0,6,0.00511073253833049,4,0.00340715502555366,0,0,0,0,0,0,48.908,0.0416592844974446,13,0.0110732538330494,0,0,16,0.0136286201022147
"VENDELSÖ SÅGEN",202233,2022-08-15,1189,40.368,0.0339512195121951,0,0,4.368,0.00367367535744323,12,0.0100925147182506,8,0.00672834314550042,0,0,0,0,1,0.000841042893187553,11,0.00925147182506308,0,0,2,0.00168208578637511,2,0.00168208578637511,40.368,0.0339512195121951,20.368,0.0171303616484441,0,0,0,0,0,0,4.368,0.00367367535744323,12,0.0100925147182506,0,0,1,0.000841042893187553,7,0.00588730025231287,0,0,0,0,0,0,0,0,1,0.000841042893187553,8,0.00672834314550042,3,0.00252312867956266,0,0,2,0.00168208578637511,2,0.00168208578637511,40.368,0.0339512195121951,11,0.00925147182506308,0,0,9,0.00756938603868797
"VENDELSÖ SÅGEN",202232,2022-08-14,1310,51.788,0.0395328244274809,0,0,10.788,0.00823511450381679,17,0.0129770992366412,10,0.00763358778625954,0,0,0,0,0,0,9,0.00687022900763359,0,0,4,0.00305343511450382,1,0.000763358778625954,51.788,0.0395328244274809,31.788,0.0242656488549618,0,0,0,0,0,0,10.788,0.00823511450381679,12,0.00916030534351145,5,0.00381679389312977,0,0,10,0.00763358778625954,0,0,0,0,0,0,0,0,0,0,5,0.00381679389312977,4,0.00305343511450382,0,0,4,0.00305343511450382,1,0.000763358778625954,51.788,0.0395328244274809,6,0.00458015267175573,0,0,14,0.0106870229007634
"VENDELSÖ SÅGEN",202232,2022-08-13,1135,63.566,0.0560052863436123,0,0,10.566,0.00930925110132159,14,0.0123348017621145,29,0.0255506607929515,0,0,0,0,0,0,6,0.0052863436123348,0,0,2,0.00176211453744493,2,0.00176211453744493,63.566,0.0560052863436123,27.566,0.0242872246696035,0,0,0,0,0,0,10.566,0.00930925110132159,13,0.0114537444933921,1,0.000881057268722467,19,0.0167400881057269,10,0.00881057268722467,0,0,0,0,0,0,0,0,0,0,3,0.0026431718061674,3,0.0026431718061674,0,0,2,0.00176211453744493,2,0.00176211453744493,63.566,0.0560052863436123,24,0.0211453744493392,0,0,12,0.0105726872246696
"VENDELSÖ SÅGEN",202232,2022-08-12,1206,48.438,0.0401641791044776,0,0,9.438,0.00782587064676617,10,0.00829187396351575,16,0.0132669983416252,0,0,0,0,2,0.00165837479270315,9,0.00746268656716418,0,0,0,0,2,0.00165837479270315,48.438,0.0401641791044776,23.438,0.0194344941956882,0,0,0,0,0,0,9.438,0.00782587064676617,8,0.0066334991708126,2,0.00165837479270315,7,0.00580431177446103,9,0.00746268656716418,0,0,0,0,0,0,0,0,2,0.00165837479270315,7,0.00580431177446103,2,0.00165837479270315,0,0,0,0,2,0.00165837479270315,48.438,0.0401641791044776,16,0.0132669983416252,0,0,9,0.00746268656716418
"VENDELSÖ SÅGEN",202232,2022-08-11,1155,53.912,0.0466770562770563,0,0,10.912,0.00944761904761905,9,0.00779220779220779,19,0.0164502164502165,0,0,0,0,2,0.00173160173160173,12,0.0103896103896104,0,0,1,0.000865800865800866,0,0,53.912,0.0466770562770563,26.912,0.0233004329004329,0,0,0,0,0,0,10.912,0.00944761904761905,8,0.00692640692640693,1,0.000865800865800866,7,0.00606060606060606,12,0.0103896103896104,0,0,0,0,0,0,0,0,2,0.00173160173160173,7,0.00606060606060606,5,0.00432900432900433,0,0,1,0.000865800865800866,0,0,53.912,0.0466770562770563,14,0.0121212121212121,0,0,13,0.0112554112554113
"VENDELSÖ SÅGEN",202232,2022-08-10,1018,37.412,0.0367504911591356,0,0,5.412,0.00531630648330059,7,0.0068762278978389,12,0.0117878192534381,0,0,0,0,3,0.00294695481335953,10,0.00982318271119843,0,0,0,0,0,0,37.412,0.0367504911591356,20.412,0.0200510805500982,0,0,0,0,0,0,5.412,0.00531630648330059,7,0.0068762278978389,0,0,10,0.00982318271119843,2,0.00196463654223969,0,0,0,0,0,0,0,0,3,0.00294695481335953,5,0.00491159135559921,5,0.00491159135559921,0,0,0,0,0,0,37.412,0.0367504911591356,15,0.0147347740667976,0,0,2,0.00196463654223969
"VENDELSÖ SÅGEN",202232,2022-08-09,1102,56.154,0.050956442831216,0,0,9.154,0.00830671506352087,9,0.00816696914700544,17,0.015426497277677,2,0.00181488203266788,0,0,1,0.000907441016333938,13,0.0117967332123412,0,0,4,0.00362976406533575,1,0.000907441016333938,56.154,0.050956442831216,26.154,0.0237332123411978,0,0,0,0,0,0,9.154,0.00830671506352087,8,0.00725952813067151,1,0.000907441016333938,11,0.00998185117967332,6,0.00544464609800363,2,0.00181488203266788,0,0,0,0,0,0,1,0.000907441016333938,8,0.00725952813067151,5,0.00453720508166969,0,0,4,0.00362976406533575,1,0.000907441016333938,56.154,0.050956442831216,20,0.0181488203266788,0,0,10,0.00907441016333938
"VENDELSÖ SÅGEN",202232,2022-08-08,1085,45.806,0.0422175115207373,1,0.000921658986175115,9.806,0.00903778801843318,8,0.00737327188940092,12,0.0110599078341014,0,0,0,0,0,0,14,0.0129032258064516,0,0,0,0,1,0.000921658986175115,44.806,0.0412958525345622,22.806,0.0210193548387097,1,0.000921658986175115,0,0,0,0,8.806,0.00811612903225806,8,0.00737327188940092,0,0,2,0.00184331797235023,10,0.00921658986175115,0,0,0,0,0,0,0,0,0,0,8,0.00737327188940092,6,0.00552995391705069,0,0,0,0,1,0.000921658986175115,44.806,0.0412958525345622,12,0.0110599078341014,0,0,10,0.00921658986175115
